CMDLINE python3 logn.py
MEM 0.750000 1715786348.6643
MEM 57.125000 1715786348.7646
MEM 106.875000 1715786348.8649
MEM 157.750000 1715786348.9652
MEM 208.500000 1715786349.0655
MEM 259.125000 1715786349.1657
MEM 309.875000 1715786349.2660
MEM 361.250000 1715786349.3664
MEM 391.500000 1715786349.4667
MEM 153.585938 1715786349.5671
