CMDLINE python3 n.py
MEM 850.875000 1715854248.3321
MEM 850.875000 1715854248.4325
MEM 850.875000 1715854248.5329
MEM 850.875000 1715854248.6333
MEM 850.875000 1715854248.7337
MEM 850.875000 1715854248.8342
MEM 850.875000 1715854248.9346
MEM 850.875000 1715854249.0350
MEM 850.875000 1715854249.1354
MEM 850.875000 1715854249.2359
MEM 850.875000 1715854249.3402
MEM 850.875000 1715854249.4407
MEM 850.875000 1715854249.5411
MEM 850.875000 1715854249.6415
MEM 850.875000 1715854249.7419
MEM 850.875000 1715854249.8423
MEM 850.875000 1715854249.9428
MEM 850.875000 1715854250.0433
MEM 850.875000 1715854250.1437
MEM 850.875000 1715854250.2441
MEM 850.875000 1715854250.3445
MEM 850.875000 1715854250.4449
MEM 850.875000 1715854250.5454
MEM 850.875000 1715854250.6458
MEM 850.875000 1715854250.7463
MEM 850.875000 1715854250.8467
MEM 850.875000 1715854250.9471
MEM 850.875000 1715854251.0476
MEM 850.875000 1715854251.1480
MEM 850.875000 1715854251.2484
MEM 850.875000 1715854251.3489
MEM 850.875000 1715854251.4493
MEM 850.875000 1715854251.5497
MEM 850.875000 1715854251.6501
MEM 850.875000 1715854251.7515
MEM 850.875000 1715854251.8520
MEM 850.875000 1715854251.9524
MEM 850.875000 1715854252.0529
MEM 850.875000 1715854252.1533
MEM 850.875000 1715854252.2537
MEM 850.875000 1715854252.3541
MEM 850.875000 1715854252.4545
MEM 850.875000 1715854252.5549
MEM 850.875000 1715854252.6553
MEM 850.875000 1715854252.7558
MEM 850.875000 1715854252.8562
MEM 850.875000 1715854252.9566
MEM 850.875000 1715854253.0572
MEM 850.875000 1715854253.1577
MEM 850.875000 1715854253.2581
MEM 850.875000 1715854253.3586
MEM 850.875000 1715854253.4591
MEM 850.875000 1715854253.5596
MEM 850.875000 1715854253.6600
MEM 850.875000 1715854253.7605
MEM 850.875000 1715854253.8610
MEM 850.875000 1715854253.9614
MEM 850.875000 1715854254.0619
MEM 850.875000 1715854254.1624
MEM 850.875000 1715854254.2628
MEM 850.875000 1715854254.3633
MEM 850.875000 1715854254.4638
MEM 850.875000 1715854254.5642
MEM 850.875000 1715854254.6646
MEM 850.875000 1715854254.7651
MEM 850.875000 1715854254.8655
MEM 850.875000 1715854254.9659
MEM 850.875000 1715854255.0665
MEM 850.875000 1715854255.1670
MEM 850.875000 1715854255.2674
MEM 850.875000 1715854255.3678
MEM 850.875000 1715854255.4682
MEM 850.875000 1715854255.5686
MEM 850.875000 1715854255.6690
MEM 850.875000 1715854255.7695
MEM 850.875000 1715854255.8699
MEM 850.875000 1715854255.9703
MEM 850.875000 1715854256.0707
MEM 850.875000 1715854256.1711
MEM 850.875000 1715854256.2715
MEM 850.875000 1715854256.3720
MEM 850.875000 1715854256.4724
MEM 850.875000 1715854256.5728
MEM 850.875000 1715854256.6732
MEM 850.875000 1715854256.7736
MEM 850.875000 1715854256.8740
MEM 850.875000 1715854256.9744
MEM 850.875000 1715854257.0748
MEM 850.875000 1715854257.1752
MEM 850.875000 1715854257.2756
MEM 850.875000 1715854257.3761
MEM 850.875000 1715854257.4765
MEM 850.875000 1715854257.5769
MEM 850.875000 1715854257.6774
MEM 850.875000 1715854257.7778
MEM 850.875000 1715854257.8783
MEM 850.875000 1715854257.9787
MEM 850.875000 1715854258.0792
MEM 850.875000 1715854258.1796
MEM 850.875000 1715854258.2800
MEM 850.875000 1715854258.3805
MEM 850.875000 1715854258.4809
MEM 850.875000 1715854258.5814
MEM 850.875000 1715854258.6818
MEM 469.414062 1715854258.7822
MEM 469.414062 1715854258.8826
MEM 393.242188 1715854258.9830
MEM 306.246094 1715854259.0834
