CMDLINE java n
MEM 0.250000 1715854227.5512
MEM 67.613281 1715854227.6516
MEM 77.738281 1715854227.7520
MEM 77.738281 1715854227.8525
MEM 115.988281 1715854227.9529
MEM 115.988281 1715854228.0534
MEM 158.988281 1715854228.1538
MEM 158.988281 1715854228.2543
MEM 0.000000 1715854228.3547
