CMDLINE node nsquare.js
MEM 0.625000 1715853667.9228
MEM 34.367188 1715853668.0233
MEM 65.996094 1715853668.1238
MEM 65.996094 1715853668.2242
MEM 65.996094 1715853668.3247
MEM 65.996094 1715853668.4252
MEM 65.996094 1715853668.5256
MEM 65.996094 1715853668.6261
MEM 65.996094 1715853668.7266
MEM 65.996094 1715853668.8270
MEM 65.996094 1715853668.9274
MEM 65.996094 1715853669.0278
MEM 65.996094 1715853669.1281
MEM 65.996094 1715853669.2285
MEM 65.996094 1715853669.3290
MEM 65.996094 1715853669.4294
MEM 65.996094 1715853669.5298
MEM 65.996094 1715853669.6303
MEM 65.996094 1715853669.7307
MEM 65.996094 1715853669.8311
MEM 65.996094 1715853669.9316
MEM 65.996094 1715853670.0322
MEM 65.996094 1715853670.1327
MEM 65.996094 1715853670.2332
MEM 65.996094 1715853670.3337
MEM 65.996094 1715853670.4343
MEM 65.996094 1715853670.5348
MEM 65.996094 1715853670.6354
MEM 65.996094 1715853670.7359
MEM 65.996094 1715853670.8364
MEM 65.996094 1715853670.9370
MEM 65.996094 1715853671.0375
MEM 65.996094 1715853671.1381
MEM 65.996094 1715853671.2386
MEM 65.996094 1715853671.3391
MEM 65.996094 1715853671.4397
MEM 65.996094 1715853671.5402
MEM 65.996094 1715853671.6408
MEM 65.996094 1715853671.7413
MEM 65.996094 1715853671.8419
MEM 65.996094 1715853671.9424
MEM 65.996094 1715853672.0429
MEM 65.996094 1715853672.1434
MEM 65.996094 1715853672.2439
MEM 65.996094 1715853672.3444
MEM 65.996094 1715853672.4449
MEM 65.996094 1715853672.5453
MEM 65.996094 1715853672.6457
MEM 65.996094 1715853672.7461
MEM 65.996094 1715853672.8466
MEM 65.996094 1715853672.9470
MEM 65.996094 1715853673.0476
MEM 65.996094 1715853673.1482
MEM 65.996094 1715853673.2487
MEM 65.996094 1715853673.3492
MEM 65.996094 1715853673.4497
MEM 65.996094 1715853673.5502
MEM 65.996094 1715853673.6507
MEM 65.996094 1715853673.7513
MEM 65.996094 1715853673.8519
MEM 65.996094 1715853673.9524
MEM 65.996094 1715853674.0529
MEM 65.996094 1715853674.1535
MEM 65.996094 1715853674.2540
MEM 65.996094 1715853674.3545
MEM 65.996094 1715853674.4550
MEM 65.996094 1715853674.5554
MEM 65.996094 1715853674.6559
MEM 65.996094 1715853674.7565
MEM 65.996094 1715853674.8570
MEM 65.996094 1715853674.9575
MEM 65.996094 1715853675.0581
MEM 65.996094 1715853675.1586
MEM 65.996094 1715853675.2592
MEM 65.996094 1715853675.3597
MEM 65.996094 1715853675.4602
MEM 65.996094 1715853675.5607
MEM 65.996094 1715853675.6612
MEM 65.996094 1715853675.7617
MEM 65.996094 1715853675.8623
