CMDLINE python3 nsquare.py
MEM 0.500000 1715853668.9692
MEM 11.750000 1715853669.0697
MEM 15.500000 1715853669.1702
MEM 19.250000 1715853669.2707
MEM 23.000000 1715853669.3712
MEM 26.625000 1715853669.4717
MEM 30.250000 1715853669.5722
MEM 33.875000 1715853669.6727
MEM 37.625000 1715853669.7732
MEM 41.375000 1715853669.8738
MEM 45.000000 1715853669.9743
MEM 47.250000 1715853670.0748
MEM 47.250000 1715853670.1753
MEM 47.250000 1715853670.2759
MEM 47.250000 1715853670.3764
MEM 47.250000 1715853670.4769
MEM 47.250000 1715853670.5775
MEM 47.250000 1715853670.6780
MEM 47.250000 1715853670.7785
MEM 47.250000 1715853670.8790
MEM 47.250000 1715853670.9795
MEM 47.250000 1715853671.0801
MEM 47.250000 1715853671.1806
MEM 47.250000 1715853671.2812
MEM 47.250000 1715853671.3817
MEM 47.250000 1715853671.4822
MEM 47.250000 1715853671.5828
MEM 47.250000 1715853671.6833
MEM 47.250000 1715853671.7839
MEM 47.250000 1715853671.8844
MEM 47.250000 1715853671.9849
MEM 47.250000 1715853672.0854
MEM 47.250000 1715853672.1858
MEM 47.250000 1715853672.2863
MEM 47.250000 1715853672.3866
MEM 47.250000 1715853672.4870
MEM 47.250000 1715853672.5874
MEM 47.250000 1715853672.6878
MEM 47.250000 1715853672.7883
MEM 47.250000 1715853672.8887
MEM 47.250000 1715853672.9891
MEM 47.250000 1715853673.0896
MEM 47.250000 1715853673.1900
MEM 47.250000 1715853673.2905
MEM 47.250000 1715853673.3909
MEM 47.250000 1715853673.4914
MEM 47.250000 1715853673.5919
MEM 47.250000 1715853673.6924
MEM 47.250000 1715853673.7930
MEM 47.250000 1715853673.8935
MEM 47.250000 1715853673.9941
MEM 47.250000 1715853674.0947
MEM 47.250000 1715853674.1953
MEM 47.250000 1715853674.2959
MEM 47.250000 1715853674.3964
MEM 47.250000 1715853674.4969
MEM 47.250000 1715853674.5975
MEM 47.250000 1715853674.6980
MEM 47.250000 1715853674.7985
MEM 47.250000 1715853674.8991
MEM 47.250000 1715853674.9996
MEM 47.250000 1715853675.1002
MEM 47.250000 1715853675.2007
MEM 47.250000 1715853675.3013
MEM 47.250000 1715853675.4018
MEM 47.250000 1715853675.5023
MEM 47.250000 1715853675.6029
MEM 47.250000 1715853675.7034
MEM 47.250000 1715853675.8040
MEM 47.250000 1715853675.9045
MEM 47.250000 1715853676.0051
MEM 47.250000 1715853676.1056
MEM 47.250000 1715853676.2061
MEM 47.250000 1715853676.3065
MEM 47.250000 1715853676.4070
MEM 47.250000 1715853676.5075
MEM 47.250000 1715853676.6079
MEM 47.250000 1715853676.7084
MEM 47.250000 1715853676.8088
MEM 47.250000 1715853676.9092
MEM 47.250000 1715853677.0097
MEM 47.250000 1715853677.1101
MEM 47.250000 1715853677.2106
MEM 47.250000 1715853677.3110
MEM 47.250000 1715853677.4114
MEM 47.250000 1715853677.5119
MEM 47.250000 1715853677.6124
MEM 47.250000 1715853677.7128
MEM 47.250000 1715853677.8133
MEM 47.250000 1715853677.9137
MEM 47.250000 1715853678.0142
MEM 47.250000 1715853678.1146
MEM 47.250000 1715853678.2151
MEM 47.250000 1715853678.3155
MEM 47.250000 1715853678.4161
MEM 47.250000 1715853678.5166
MEM 47.250000 1715853678.6170
MEM 47.250000 1715853678.7174
MEM 47.250000 1715853678.8179
MEM 47.250000 1715853678.9184
MEM 47.250000 1715853679.0188
MEM 47.250000 1715853679.1193
MEM 47.250000 1715853679.2198
MEM 47.250000 1715853679.3202
MEM 47.250000 1715853679.4206
MEM 47.250000 1715853679.5211
MEM 47.250000 1715853679.6216
MEM 47.250000 1715853679.7221
MEM 47.250000 1715853679.8226
MEM 47.250000 1715853679.9230
MEM 47.250000 1715853680.0234
MEM 47.250000 1715853680.1238
MEM 47.250000 1715853680.2241
MEM 47.250000 1715853680.3246
MEM 47.250000 1715853680.4250
MEM 47.250000 1715853680.5254
MEM 47.250000 1715853680.6259
MEM 47.250000 1715853680.7263
MEM 47.250000 1715853680.8268
MEM 47.250000 1715853680.9272
MEM 47.250000 1715853681.0276
MEM 47.250000 1715853681.1281
MEM 47.250000 1715853681.2285
MEM 47.250000 1715853681.3290
MEM 47.250000 1715853681.4294
MEM 47.250000 1715853681.5298
MEM 47.250000 1715853681.6303
MEM 47.250000 1715853681.7307
MEM 47.250000 1715853681.8312
