CMDLINE ./nsquare
MEM 0.500000 1715853665.8622
MEM 6.824219 1715853665.9627
MEM 6.824219 1715853666.0632
MEM 6.824219 1715853666.1636
MEM 6.824219 1715853666.2641
MEM 6.824219 1715853666.3646
MEM 6.824219 1715853666.4651
MEM 6.824219 1715853666.5656
MEM 6.824219 1715853666.6660
MEM 6.824219 1715853666.7665
MEM 6.824219 1715853666.8669
MEM 6.824219 1715853666.9676
MEM 6.824219 1715853667.0681
MEM 6.824219 1715853667.1685
MEM 6.824219 1715853667.2691
MEM 6.824219 1715853667.3695
MEM 6.824219 1715853667.4699
MEM 6.824219 1715853667.5702
MEM 6.824219 1715853667.6707
MEM 6.824219 1715853667.7711
MEM 6.824219 1715853667.8715
MEM 6.824219 1715853667.9720
MEM 6.824219 1715853668.0724
MEM 6.824219 1715853668.1727
MEM 6.824219 1715853668.2731
MEM 6.824219 1715853668.3735
MEM 6.824219 1715853668.4740
MEM 6.824219 1715853668.5745
MEM 6.824219 1715853668.6749
MEM 6.824219 1715853668.7753
MEM 6.824219 1715853668.8758
MEM 6.824219 1715853668.9761
MEM 6.824219 1715853669.0766
MEM 6.824219 1715853669.1770
MEM 6.824219 1715853669.2775
MEM 6.824219 1715853669.3780
MEM 6.824219 1715853669.4785
MEM 6.824219 1715853669.5789
MEM 6.824219 1715853669.6795
MEM 6.824219 1715853669.7801
MEM 6.824219 1715853669.8805
MEM 6.824219 1715853669.9810
MEM 6.824219 1715853670.0815
MEM 6.824219 1715853670.1819
MEM 6.824219 1715853670.2823
MEM 6.824219 1715853670.3828
MEM 6.824219 1715853670.4833
MEM 6.824219 1715853670.5837
MEM 6.824219 1715853670.6842
MEM 6.824219 1715853670.7846
MEM 6.824219 1715853670.8851
MEM 6.824219 1715853670.9856
MEM 6.824219 1715853671.0861
MEM 6.824219 1715853671.1866
MEM 6.824219 1715853671.2871
MEM 6.824219 1715853671.3876
MEM 6.824219 1715853671.4881
MEM 6.824219 1715853671.5886
MEM 6.824219 1715853671.6892
MEM 6.824219 1715853671.7897
MEM 6.824219 1715853671.8902
MEM 6.824219 1715853671.9908
MEM 6.824219 1715853672.0913
MEM 6.824219 1715853672.1919
MEM 6.824219 1715853672.2924
MEM 6.824219 1715853672.3929
MEM 6.824219 1715853672.4935
MEM 6.824219 1715853672.5940
MEM 6.824219 1715853672.6946
MEM 6.824219 1715853672.7951
MEM 6.824219 1715853672.8957
MEM 6.824219 1715853672.9964
MEM 6.824219 1715853673.0968
MEM 6.824219 1715853673.1973
MEM 6.824219 1715853673.2977
MEM 6.824219 1715853673.3981
MEM 6.824219 1715853673.4985
MEM 6.824219 1715853673.5989
MEM 6.824219 1715853673.6994
MEM 6.824219 1715853673.7999
MEM 6.824219 1715853673.9003
MEM 6.824219 1715853674.0008
MEM 6.824219 1715853674.1012
MEM 6.824219 1715853674.2016
MEM 6.824219 1715853674.3021
MEM 6.824219 1715853674.4025
MEM 6.824219 1715853674.5029
MEM 6.824219 1715853674.6033
MEM 6.824219 1715853674.7039
MEM 6.824219 1715853674.8044
MEM 6.824219 1715853674.9049
MEM 6.824219 1715853675.0054
MEM 6.824219 1715853675.1059
MEM 6.824219 1715853675.2064
MEM 6.824219 1715853675.3068
MEM 6.824219 1715853675.4073
MEM 6.824219 1715853675.5077
MEM 6.824219 1715853675.6081
MEM 6.824219 1715853675.7085
MEM 6.824219 1715853675.8090
MEM 6.824219 1715853675.9094
MEM 6.824219 1715853676.0098
MEM 6.824219 1715853676.1127
MEM 6.824219 1715853676.2131
MEM 6.824219 1715853676.3134
MEM 6.824219 1715853676.4138
MEM 6.824219 1715853676.5142
MEM 6.824219 1715853676.6146
MEM 6.824219 1715853676.7150
MEM 6.824219 1715853676.8154
MEM 6.824219 1715853676.9159
MEM 6.824219 1715853677.0163
MEM 6.824219 1715853677.1167
MEM 6.824219 1715853677.2173
MEM 6.824219 1715853677.3176
MEM 6.824219 1715853677.4180
MEM 6.824219 1715853677.5184
MEM 6.824219 1715853677.6188
MEM 6.824219 1715853677.7192
MEM 6.824219 1715853677.8197
MEM 6.824219 1715853677.9201
MEM 6.824219 1715853678.0205
MEM 6.824219 1715853678.1210
MEM 6.824219 1715853678.2215
MEM 6.824219 1715853678.3219
MEM 6.824219 1715853678.4222
MEM 6.824219 1715853678.5227
MEM 6.824219 1715853678.6231
MEM 6.824219 1715853678.7236
MEM 6.824219 1715853678.8239
MEM 6.824219 1715853678.9243
MEM 6.824219 1715853679.0247
MEM 6.824219 1715853679.1251
MEM 6.824219 1715853679.2255
MEM 6.824219 1715853679.3259
MEM 6.824219 1715853679.4264
MEM 6.824219 1715853679.5268
MEM 6.824219 1715853679.6272
MEM 6.824219 1715853679.7277
MEM 6.824219 1715853679.8281
MEM 6.824219 1715853679.9286
MEM 6.824219 1715853680.0290
MEM 6.824219 1715853680.1294
MEM 6.824219 1715853680.2298
MEM 6.824219 1715853680.3303
MEM 6.824219 1715853680.4307
MEM 6.824219 1715853680.5311
MEM 6.824219 1715853680.6315
MEM 6.824219 1715853680.7320
MEM 6.824219 1715853680.8324
MEM 6.824219 1715853680.9329
MEM 6.824219 1715853681.0334
MEM 6.824219 1715853681.1338
MEM 6.824219 1715853681.2371
MEM 6.824219 1715853681.3376
MEM 6.824219 1715853681.4381
MEM 6.824219 1715853681.5386
MEM 6.824219 1715853681.6392
MEM 6.824219 1715853681.7397
MEM 6.824219 1715853681.8402
MEM 6.824219 1715853681.9407
MEM 6.824219 1715853682.0412
MEM 6.824219 1715853682.1415
MEM 6.824219 1715853682.2419
MEM 6.824219 1715853682.3423
MEM 6.824219 1715853682.4427
MEM 6.824219 1715853682.5431
MEM 6.824219 1715853682.6436
MEM 6.824219 1715853682.7439
MEM 6.824219 1715853682.8443
MEM 6.824219 1715853682.9446
MEM 6.824219 1715853683.0450
MEM 6.824219 1715853683.1454
MEM 6.824219 1715853683.2457
MEM 6.824219 1715853683.3461
MEM 6.824219 1715853683.4464
MEM 6.824219 1715853683.5468
MEM 6.824219 1715853683.6471
MEM 6.824219 1715853683.7476
MEM 6.824219 1715853683.8481
MEM 6.824219 1715853683.9485
MEM 6.824219 1715853684.0488
MEM 6.824219 1715853684.1492
MEM 6.824219 1715853684.2496
MEM 6.824219 1715853684.3499
MEM 6.824219 1715853684.4504
MEM 6.824219 1715853684.5508
MEM 6.824219 1715853684.6511
MEM 6.824219 1715853684.7514
MEM 6.824219 1715853684.8518
MEM 6.824219 1715853684.9521
MEM 6.824219 1715853685.0525
MEM 6.824219 1715853685.1529
MEM 6.824219 1715853685.2532
MEM 6.824219 1715853685.3535
MEM 6.824219 1715853685.4540
MEM 6.824219 1715853685.5602
MEM 6.824219 1715853685.6607
MEM 6.824219 1715853685.7612
MEM 6.824219 1715853685.8617
MEM 6.824219 1715853685.9622
MEM 6.824219 1715853686.0627
MEM 6.824219 1715853686.1633
MEM 6.824219 1715853686.2637
MEM 6.824219 1715853686.3642
MEM 6.824219 1715853686.4646
MEM 6.824219 1715853686.5652
MEM 6.824219 1715853686.6657
MEM 6.824219 1715853686.7663
MEM 6.824219 1715853686.8681
MEM 6.824219 1715853686.9686
MEM 6.824219 1715853687.0691
MEM 6.824219 1715853687.1697
MEM 6.824219 1715853687.2702
MEM 6.824219 1715853687.3708
MEM 6.824219 1715853687.4713
MEM 6.824219 1715853687.5718
MEM 6.824219 1715853687.6722
MEM 6.824219 1715853687.7728
MEM 6.824219 1715853687.8733
MEM 6.824219 1715853687.9738
MEM 6.824219 1715853688.0744
MEM 6.824219 1715853688.1749
MEM 6.824219 1715853688.2755
MEM 6.824219 1715853688.3760
MEM 6.824219 1715853688.4764
MEM 6.824219 1715853688.5769
MEM 6.824219 1715853688.6774
MEM 6.824219 1715853688.7780
MEM 6.824219 1715853688.8785
MEM 6.824219 1715853688.9790
MEM 6.824219 1715853689.0796
MEM 6.824219 1715853689.1801
MEM 6.824219 1715853689.2806
MEM 6.824219 1715853689.3811
MEM 6.824219 1715853689.4816
MEM 6.824219 1715853689.5821
MEM 6.824219 1715853689.6827
MEM 6.824219 1715853689.7832
MEM 6.824219 1715853689.8837
MEM 6.824219 1715853689.9842
MEM 6.824219 1715853690.0847
MEM 6.824219 1715853690.1853
MEM 6.824219 1715853690.2858
MEM 6.824219 1715853690.3863
MEM 6.824219 1715853690.4869
MEM 6.824219 1715853690.5874
MEM 6.824219 1715853690.6879
MEM 6.824219 1715853690.7885
