x,one,nsquare,nlogn,n,logn
1,0.000000592,0.044346,0.001751,0.000225,0.000003
2,0.000000623,0.037153,0.001701,0.000245,0.000004
3,0.000000479,0.035603,0.001732,0.000232,0.000004
4,0.000000353,0.038673,0.001685,0.000213,0.000004
5,0.000000514,0.035476,0.001677,0.000217,0.000004
6,0.00000038,0.036137,0.001753,0.00021,0.000003
7,0.000000411,0.035562,0.001748,0.000228,0.000008
8,0.000000423,0.035972,0.002494,0.000257,0.000003
9,0.000000379,0.035142,0.001997,0.000231,0.000003
10,0.000000386,0.034989,0.002007,0.000213,0.000003
11,0.000000388,0.035494,0.001921,0.000232,0.000004
12,0.000000619,0.065404,0.001853,0.000221,0.000004
13,0.000000408,0.037857,0.001857,0.000207,0.000004
14,0.000000524,0.037288,0.001874,0.000201,0.000004
15,0.000004908,0.035851,0.002925,0.00021,0.000004
16,0.000004667,0.035982,0.001801,0.000217,0.000004
17,0.000000306,0.03585,0.00179,0.000234,0.000004
18,0.000000397,0.035984,0.001722,0.000224,0.000004
19,0.000000421,0.03661,0.001752,0.00023,0.000004
20,0.000000525,0.03484,0.001739,0.000213,0.000004
21,0.000000534,0.035627,0.001732,0.000218,0.000004
22,0.000000387,0.0342,0.001728,0.000216,0.000003
23,0.000000736,0.033741,0.001709,0.000209,0.000004
24,0.000000666,0.034332,0.001717,0.00021,0.000004
25,0.00000053,0.033572,0.001718,0.000212,0.000003
26,0.000000421,0.034442,0.001776,0.000209,0.000004
27,0.000000386,0.035981,0.0018,0.000219,0.000004
28,0.000000885,0.034901,0.001797,0.000305,0.000004
29,0.000004456,0.03373,0.001904,0.00022,0.000004
30,0.000000687,0.034125,0.001786,0.000222,0.000004
31,0.000000547,0.036384,0.001882,0.000233,0.000003
32,0.000000774,0.034522,0.001813,0.000229,0.000005
33,0.000001102,0.035472,0.001836,0.000227,0.000004
34,0.000000561,0.034515,0.001874,0.000263,0.000004
35,0.000000503,0.034961,0.001829,0.000222,0.000003
36,0.000000646,0.03553,0.001791,0.00022,0.000004
