x,one,nsquare,nlogn,n,logn
1,0.000002,0.003603,0.000435,0.000131,0.000002
2,0.000002,0.003728,0.000416,0.000128,0.000002
3,0.000001,0.012818,0.000408,0.000127,0.000002
4,0.000001,0.003752,0.000411,0.000135,0.000002
5,0.000001,0.003732,0.000436,0.000138,0.000002
6,0.000001,0.003601,0.000403,0.000174,0.000016
7,0.000001,0.003745,0.000409,0.000236,0.000002
8,0.000001,0.003658,0.000412,0.000128,0.000002
9,0.000001,0.003708,0.000639,0.000125,0.000002
10,0.000001,0.003598,0.000468,0.000143,0.000002
11,0.000001,0.003782,0.000447,0.000154,0.000002
12,0.000001,0.003826,0.000452,0.000144,0.000002
13,0.000001,0.003862,0.000446,0.000128,0.000002
14,0.000001,0.003819,0.000446,0.000131,0.000002
15,0.000001,0.003979,0.000431,0.000124,0.000002
16,0.000001,0.003811,0.000491,0.000136,0.000002
17,0.000001,0.003895,0.000423,0.000147,0.000002
18,0.000001,0.003814,0.000433,0.000132,0.000002
19,0.000001,0.00367,0.000422,0.000135,0.000002
20,0.000001,0.003623,0.000431,0.000125,0.000002
21,0.000002,0.003798,0.000415,0.000121,0.000002
22,0.000002,0.003586,0.00041,0.000131,0.000002
23,0.000001,0.00368,0.000429,0.000133,0.000002
24,0.000001,0.003596,0.000449,0.000135,0.000002
25,0.000001,0.003671,0.000409,0.000129,0.000002
26,0.000001,0.003518,0.000404,0.000184,0.000002
27,0.000001,0.003871,0.00044,0.000128,0.000002
28,0.000001,0.003633,0.000435,0.000137,0.000002
29,0.000001,0.003551,0.002412,0.000131,0.000002
30,0.000002,0.00362,0.00043,0.000155,0.000002
31,0.000001,0.003632,0.00043,0.000146,0.000002
32,0.000001,0.003496,0.000421,0.00013,0.000002
33,0.000002,0.005199,0.000434,0.000153,0.000002
34,0.000001,0.003762,0.000434,0.000176,0.000002
35,0.000001,0.003692,0.00043,0.000138,0.000002
36,0.000001,0.003727,0.000421,0.00014,0.000002
37,0.000002,0.003724,0.000407,0.000764,0.000002
38,0.000001,0.003689,0.000503,0.000125,0.000002
