CMDLINE python3 nlogn.py
MEM 0.500000 1715854233.6506
MEM 11.375000 1715854233.7510
MEM 16.125000 1715854233.8514
MEM 21.250000 1715854233.9517
MEM 24.750000 1715854234.0521
MEM 29.875000 1715854234.1525
MEM 34.125000 1715854234.2528
MEM 36.625000 1715854234.3532
MEM 39.000000 1715854234.4535
MEM 42.125000 1715854234.5539
MEM 47.250000 1715854234.6543
MEM 52.500000 1715854234.7547
MEM 57.500000 1715854234.8551
MEM 62.500000 1715854234.9555
MEM 67.750000 1715854235.0559
MEM 72.875000 1715854235.1562
MEM 77.500000 1715854235.2566
MEM 81.750000 1715854235.3570
MEM 86.625000 1715854235.4573
MEM 89.125000 1715854235.5577
MEM 91.500000 1715854235.6581
MEM 94.000000 1715854235.7585
MEM 96.875000 1715854235.8589
MEM 99.625000 1715854235.9593
MEM 102.375000 1715854236.0597
MEM 105.125000 1715854236.1600
MEM 108.250000 1715854236.2604
MEM 111.250000 1715854236.3607
MEM 114.375000 1715854236.4611
MEM 117.500000 1715854236.5615
MEM 120.625000 1715854236.6618
MEM 123.625000 1715854236.7622
MEM 126.750000 1715854236.8626
MEM 129.875000 1715854236.9629
MEM 133.000000 1715854237.0633
MEM 136.125000 1715854237.1637
MEM 139.125000 1715854237.2640
MEM 142.250000 1715854237.3644
MEM 145.375000 1715854237.4647
MEM 148.375000 1715854237.5651
MEM 151.500000 1715854237.6654
MEM 154.625000 1715854237.7658
MEM 157.750000 1715854237.8661
MEM 160.875000 1715854237.9664
MEM 164.000000 1715854238.0668
MEM 167.000000 1715854238.1671
MEM 170.125000 1715854238.2675
MEM 173.250000 1715854238.3678
MEM 176.375000 1715854238.4680
MEM 179.500000 1715854238.5684
MEM 182.625000 1715854238.6687
MEM 185.750000 1715854238.7691
MEM 188.875000 1715854238.8695
MEM 192.000000 1715854238.9698
MEM 195.000000 1715854239.0701
MEM 198.125000 1715854239.1705
MEM 201.250000 1715854239.2708
MEM 204.375000 1715854239.3711
MEM 207.500000 1715854239.4715
MEM 210.625000 1715854239.5718
MEM 213.750000 1715854239.6722
MEM 216.875000 1715854239.7725
MEM 220.000000 1715854239.8728
MEM 223.125000 1715854239.9732
MEM 226.250000 1715854240.0735
MEM 229.375000 1715854240.1738
MEM 232.375000 1715854240.2742
MEM 235.500000 1715854240.3745
MEM 238.625000 1715854240.4748
MEM 241.750000 1715854240.5752
MEM 244.875000 1715854240.6755
MEM 247.875000 1715854240.7758
MEM 251.000000 1715854240.8762
MEM 254.125000 1715854240.9765
MEM 257.250000 1715854241.0768
MEM 260.375000 1715854241.1771
MEM 263.500000 1715854241.2775
MEM 266.625000 1715854241.3778
MEM 269.750000 1715854241.4781
MEM 272.875000 1715854241.5784
MEM 276.000000 1715854241.6787
MEM 279.000000 1715854241.7791
MEM 282.125000 1715854241.8794
MEM 285.250000 1715854241.9797
MEM 288.375000 1715854242.0800
MEM 291.500000 1715854242.1803
MEM 294.625000 1715854242.2806
MEM 297.750000 1715854242.3810
MEM 300.875000 1715854242.4813
MEM 304.000000 1715854242.5816
MEM 307.125000 1715854242.6819
MEM 310.125000 1715854242.7823
MEM 313.250000 1715854242.8826
MEM 316.375000 1715854242.9829
MEM 319.500000 1715854243.0832
MEM 322.625000 1715854243.1835
MEM 325.750000 1715854243.2839
MEM 328.750000 1715854243.3842
MEM 331.875000 1715854243.4845
MEM 335.000000 1715854243.5848
MEM 338.125000 1715854243.6851
MEM 341.125000 1715854243.7854
MEM 344.250000 1715854243.8858
MEM 347.375000 1715854243.9861
MEM 350.500000 1715854244.0865
MEM 353.500000 1715854244.1869
MEM 356.625000 1715854244.2873
MEM 359.750000 1715854244.3877
MEM 362.875000 1715854244.4881
MEM 365.875000 1715854244.5884
MEM 369.000000 1715854244.6888
MEM 372.125000 1715854244.7892
MEM 375.250000 1715854244.8896
MEM 378.250000 1715854244.9899
MEM 381.375000 1715854245.0903
MEM 384.500000 1715854245.1907
MEM 387.625000 1715854245.2910
MEM 390.750000 1715854245.3914
MEM 392.125000 1715854245.4918
MEM 392.250000 1715854245.5922
MEM 392.250000 1715854245.6926
MEM 392.234375 1715854245.7929
MEM 392.234375 1715854245.8933
MEM 392.234375 1715854245.9938
MEM 392.234375 1715854246.0941
MEM 392.234375 1715854246.1944
MEM 392.234375 1715854246.2948
MEM 392.359375 1715854246.3952
MEM 392.359375 1715854246.4955
MEM 392.359375 1715854246.5959
MEM 393.359375 1715854246.6963
MEM 392.234375 1715854246.7967
MEM 392.234375 1715854246.8970
MEM 392.234375 1715854246.9974
MEM 392.359375 1715854247.0978
MEM 392.359375 1715854247.1981
MEM 392.359375 1715854247.2985
MEM 392.609375 1715854247.3989
MEM 392.609375 1715854247.4993
MEM 392.609375 1715854247.5997
MEM 392.609375 1715854247.7000
MEM 392.609375 1715854247.8004
MEM 394.511719 1715854247.9008
MEM 394.511719 1715854248.0012
MEM 392.136719 1715854248.1016
MEM 392.136719 1715854248.2019
MEM 392.136719 1715854248.3023
MEM 392.261719 1715854248.4027
MEM 392.261719 1715854248.5030
MEM 392.261719 1715854248.6034
MEM 392.511719 1715854248.7038
MEM 392.511719 1715854248.8042
MEM 392.511719 1715854248.9046
MEM 392.511719 1715854249.0050
MEM 392.511719 1715854249.1053
MEM 393.136719 1715854249.2057
MEM 393.136719 1715854249.3061
MEM 393.136719 1715854249.4064
MEM 393.136719 1715854249.5068
MEM 393.136719 1715854249.6072
MEM 393.136719 1715854249.7075
MEM 393.136719 1715854249.8079
MEM 393.136719 1715854249.9083
MEM 393.136719 1715854250.0086
MEM 393.136719 1715854250.1090
MEM 393.136719 1715854250.2094
MEM 393.136719 1715854250.3098
MEM 393.136719 1715854250.4101
MEM 393.136719 1715854250.5105
MEM 393.136719 1715854250.6109
MEM 394.386719 1715854250.7113
MEM 394.386719 1715854250.8117
MEM 396.886719 1715854250.9121
MEM 396.886719 1715854251.0124
MEM 396.886719 1715854251.1128
MEM 392.136719 1715854251.2132
MEM 392.136719 1715854251.3136
MEM 392.136719 1715854251.4140
MEM 392.261719 1715854251.5143
MEM 392.261719 1715854251.6147
MEM 392.261719 1715854251.7151
MEM 392.511719 1715854251.8155
MEM 392.511719 1715854251.9159
MEM 392.511719 1715854252.0163
MEM 392.511719 1715854252.1166
MEM 392.511719 1715854252.2170
MEM 392.511719 1715854252.3174
MEM 392.511719 1715854252.4177
MEM 393.136719 1715854252.5181
MEM 393.136719 1715854252.6185
MEM 393.136719 1715854252.7189
MEM 393.136719 1715854252.8193
MEM 393.136719 1715854252.9197
MEM 393.136719 1715854253.0201
MEM 393.136719 1715854253.1205
MEM 393.136719 1715854253.2208
MEM 393.136719 1715854253.3213
MEM 393.136719 1715854253.4217
MEM 393.136719 1715854253.5221
MEM 393.136719 1715854253.6225
MEM 393.136719 1715854253.7229
MEM 393.136719 1715854253.8233
MEM 393.136719 1715854253.9237
MEM 393.136719 1715854254.0241
MEM 393.136719 1715854254.1246
MEM 393.136719 1715854254.2249
MEM 393.136719 1715854254.3252
MEM 393.136719 1715854254.4256
MEM 393.136719 1715854254.5260
MEM 393.136719 1715854254.6264
MEM 393.136719 1715854254.7268
MEM 393.136719 1715854254.8272
MEM 393.136719 1715854254.9276
MEM 393.136719 1715854255.0280
MEM 393.136719 1715854255.1283
MEM 393.136719 1715854255.2287
MEM 393.136719 1715854255.3291
MEM 394.261719 1715854255.4295
MEM 394.261719 1715854255.5299
MEM 394.261719 1715854255.6303
MEM 394.261719 1715854255.7306
MEM 394.261719 1715854255.8310
MEM 394.261719 1715854255.9314
MEM 394.261719 1715854256.0318
MEM 394.261719 1715854256.1322
MEM 394.261719 1715854256.2327
MEM 394.261719 1715854256.3330
MEM 394.261719 1715854256.4334
MEM 394.261719 1715854256.5338
MEM 394.261719 1715854256.6342
MEM 394.261719 1715854256.7347
MEM 394.261719 1715854256.8351
MEM 394.261719 1715854256.9355
MEM 394.261719 1715854257.0358
MEM 394.261719 1715854257.1362
MEM 394.261719 1715854257.2366
MEM 394.261719 1715854257.3370
MEM 394.261719 1715854257.4374
MEM 394.261719 1715854257.5378
MEM 394.261719 1715854257.6382
MEM 394.261719 1715854257.7385
MEM 394.261719 1715854257.8390
MEM 394.261719 1715854257.9393
MEM 394.261719 1715854258.0397
MEM 394.261719 1715854258.1401
MEM 394.261719 1715854258.2405
MEM 394.261719 1715854258.3409
MEM 394.261719 1715854258.4413
MEM 394.261719 1715854258.5417
MEM 394.261719 1715854258.6421
MEM 394.261719 1715854258.7425
MEM 394.261719 1715854258.8429
MEM 394.261719 1715854258.9433
MEM 394.261719 1715854259.0437
MEM 394.261719 1715854259.1441
MEM 394.261719 1715854259.2446
MEM 394.261719 1715854259.3449
MEM 394.261719 1715854259.4453
MEM 394.261719 1715854259.5456
MEM 394.261719 1715854259.6460
MEM 394.261719 1715854259.7464
MEM 394.261719 1715854259.8470
MEM 394.261719 1715854259.9473
MEM 394.261719 1715854260.0477
MEM 394.261719 1715854260.1480
MEM 394.261719 1715854260.2483
MEM 394.261719 1715854260.3487
MEM 394.261719 1715854260.4490
MEM 396.636719 1715854260.5493
MEM 396.636719 1715854260.6497
MEM 396.636719 1715854260.7501
MEM 396.636719 1715854260.8504
MEM 396.636719 1715854260.9508
MEM 396.636719 1715854261.0512
MEM 396.636719 1715854261.1515
MEM 401.566406 1715854261.2519
MEM 401.566406 1715854261.3523
MEM 401.566406 1715854261.4527
MEM 401.566406 1715854261.5530
MEM 401.566406 1715854261.6534
MEM 401.566406 1715854261.7538
MEM 401.566406 1715854261.8542
MEM 401.566406 1715854261.9546
MEM 401.566406 1715854262.0550
MEM 401.566406 1715854262.1554
MEM 401.566406 1715854262.2558
MEM 401.566406 1715854262.3564
MEM 401.566406 1715854262.4567
MEM 392.046875 1715854262.5571
MEM 392.046875 1715854262.6574
MEM 392.046875 1715854262.7578
MEM 392.296875 1715854262.8582
MEM 392.296875 1715854262.9586
MEM 392.296875 1715854263.0589
MEM 392.546875 1715854263.1593
MEM 392.546875 1715854263.2597
MEM 392.546875 1715854263.3600
MEM 392.546875 1715854263.4604
MEM 392.546875 1715854263.5608
MEM 392.546875 1715854263.6611
MEM 392.546875 1715854263.7615
MEM 393.046875 1715854263.8619
MEM 393.046875 1715854263.9623
MEM 393.046875 1715854264.0627
MEM 393.046875 1715854264.1638
MEM 393.046875 1715854264.2642
MEM 393.046875 1715854264.3647
MEM 393.046875 1715854264.4650
MEM 393.046875 1715854264.5654
MEM 393.046875 1715854264.6658
MEM 393.046875 1715854264.7663
MEM 393.046875 1715854264.8667
MEM 393.046875 1715854264.9670
MEM 393.046875 1715854265.0674
MEM 393.046875 1715854265.1678
MEM 394.171875 1715854265.2682
MEM 394.171875 1715854265.3686
MEM 394.171875 1715854265.4690
MEM 394.171875 1715854265.5694
MEM 394.171875 1715854265.6698
MEM 394.171875 1715854265.7702
MEM 394.171875 1715854265.8706
MEM 394.171875 1715854265.9710
MEM 394.171875 1715854266.0714
MEM 394.171875 1715854266.1718
MEM 394.171875 1715854266.2721
MEM 394.171875 1715854266.3724
MEM 394.171875 1715854266.4730
MEM 394.171875 1715854266.5734
MEM 394.171875 1715854266.6738
MEM 394.171875 1715854266.7742
MEM 394.171875 1715854266.8747
MEM 394.171875 1715854266.9750
MEM 394.171875 1715854267.0753
MEM 394.171875 1715854267.1757
MEM 394.171875 1715854267.2760
MEM 394.171875 1715854267.3764
MEM 394.171875 1715854267.4768
MEM 394.171875 1715854267.5771
MEM 394.171875 1715854267.6775
MEM 394.171875 1715854267.7778
MEM 394.171875 1715854267.8783
MEM 394.171875 1715854267.9800
MEM 394.171875 1715854268.0803
MEM 394.171875 1715854268.1811
MEM 396.546875 1715854268.2814
MEM 396.546875 1715854268.3817
MEM 396.546875 1715854268.4821
MEM 396.546875 1715854268.5824
MEM 396.546875 1715854268.6827
MEM 396.546875 1715854268.7830
MEM 396.546875 1715854268.8833
MEM 396.546875 1715854268.9836
MEM 396.546875 1715854269.0839
MEM 396.546875 1715854269.1842
MEM 396.546875 1715854269.2845
MEM 396.546875 1715854269.3848
MEM 396.546875 1715854269.4852
MEM 396.546875 1715854269.5855
MEM 396.546875 1715854269.6858
MEM 396.546875 1715854269.7862
MEM 396.546875 1715854269.8865
MEM 396.546875 1715854269.9868
MEM 396.546875 1715854270.0871
MEM 396.546875 1715854270.1875
MEM 396.546875 1715854270.2877
MEM 396.546875 1715854270.3880
MEM 396.546875 1715854270.4883
MEM 396.546875 1715854270.5887
MEM 396.546875 1715854270.6890
MEM 396.546875 1715854270.7893
MEM 396.546875 1715854270.8897
MEM 396.546875 1715854270.9900
MEM 396.546875 1715854271.0903
MEM 396.546875 1715854271.1909
MEM 396.546875 1715854271.2926
MEM 396.546875 1715854271.3929
MEM 396.546875 1715854271.4934
MEM 396.546875 1715854271.5938
MEM 396.546875 1715854271.6941
MEM 396.546875 1715854271.7945
MEM 396.546875 1715854271.8948
MEM 396.546875 1715854271.9951
MEM 396.546875 1715854272.0955
MEM 396.546875 1715854272.1959
MEM 396.546875 1715854272.2962
MEM 396.546875 1715854272.3965
MEM 396.546875 1715854272.4968
MEM 396.546875 1715854272.5972
MEM 396.546875 1715854272.6975
MEM 396.546875 1715854272.7978
MEM 396.546875 1715854272.8981
MEM 396.546875 1715854272.9985
MEM 396.546875 1715854273.0988
MEM 396.546875 1715854273.1991
MEM 396.546875 1715854273.2995
MEM 396.546875 1715854273.3998
MEM 396.546875 1715854273.5001
MEM 396.546875 1715854273.6004
MEM 396.546875 1715854273.7008
MEM 396.546875 1715854273.8011
MEM 396.546875 1715854273.9014
MEM 396.546875 1715854274.0017
MEM 396.546875 1715854274.1021
MEM 396.546875 1715854274.2025
MEM 396.546875 1715854274.3028
MEM 396.546875 1715854274.4032
MEM 396.546875 1715854274.5035
MEM 396.546875 1715854274.6065
MEM 396.546875 1715854274.7069
MEM 396.546875 1715854274.8073
MEM 396.546875 1715854274.9076
MEM 401.296875 1715854275.0080
MEM 401.296875 1715854275.1102
MEM 401.296875 1715854275.2106
MEM 401.296875 1715854275.3110
MEM 401.296875 1715854275.4113
MEM 401.296875 1715854275.5118
MEM 401.296875 1715854275.6122
MEM 397.523438 1715854275.7126
MEM 411.023438 1715854275.8130
MEM 411.023438 1715854275.9133
MEM 411.023438 1715854276.0137
MEM 411.023438 1715854276.1140
MEM 411.023438 1715854276.2143
MEM 411.023438 1715854276.3146
MEM 411.023438 1715854276.4155
MEM 411.023438 1715854276.5159
MEM 411.023438 1715854276.6163
MEM 411.023438 1715854276.7167
MEM 411.023438 1715854276.8171
MEM 411.023438 1715854276.9175
MEM 411.023438 1715854277.0179
MEM 411.023438 1715854277.1185
MEM 391.972656 1715854277.2188
MEM 391.972656 1715854277.3191
MEM 392.097656 1715854277.4194
MEM 392.097656 1715854277.5197
MEM 392.097656 1715854277.6201
