x,one,logn,n,nlogn,nsquare
100,0.000000083,0.000001959,0.000017553,0.000128000,0.003648261
101,0.000000100,0.000001923,0.000016318,0.000126000,0.003787487
102,0.000000089,0.000001957,0.000016293,0.000137000,0.003678043
103,0.000000083,0.000001826,0.000016615,0.000125000,0.003827513
104,0.000000084,0.000001846,0.000016551,0.000129000,0.003827394
105,0.000000083,0.000001855,0.000017597,0.000134000,0.003707584
106,0.000000093,0.000001872,0.000016525,0.000122000,0.003681705
107,0.000000083,0.000001792,0.000016346,0.000128000,0.003594879
108,0.000000084,0.000001927,0.000016223,0.000132000,0.003636255
109,0.000000099,0.000001894,0.000021261,0.000134000,0.003890828
110,0.000000089,0.000001849,0.000016436,0.000131000,0.003800599
111,0.000000088,0.000001783,0.000015774,0.000122000,0.004037172
112,0.000000081,0.000001991,0.000015974,0.000130000,0.003792728
113,0.000000083,0.000001812,0.000016985,0.000125000,0.003718716
114,0.000000089,0.000002350,0.000015773,0.000127000,0.003629445
115,0.000000081,0.000001956,0.000016370,0.000133000,0.003979767
116,0.000000087,0.000001893,0.000016146,0.000125000,0.003736681
117,0.000000087,0.000001789,0.000017489,0.000134000,0.003673437
118,0.000000107,0.000001790,0.000022308,0.000131000,0.003688737
119,0.000000084,0.000001823,0.000018291,0.000128000,0.003711619
120,0.000000104,0.000001878,0.000017812,0.000130000,0.003737384
121,0.000000082,0.000001843,0.000016036,0.000127000,0.003734567
122,0.000000089,0.000001668,0.000016317,0.000128000,0.003666424
123,0.000000085,0.000001980,0.000016498,0.000126000,0.003702281
124,0.000000104,0.000001860,0.000015441,0.000121000,0.003442681
125,0.000000084,0.000001790,0.000015145,0.000117000,0.003683315
126,0.000000084,0.000002048,0.000016957,0.000126000,0.003649129
127,0.000000083,0.000001770,0.000021051,0.000124000,0.003888625
128,0.000000078,0.000001689,0.000014186,0.000113000,0.003253630
129,0.000000074,0.000001572,0.000015050,0.000116000,0.003364072
130,0.000000097,0.000001680,0.000015247,0.000120000,0.003409367
131,0.000000083,0.000001695,0.000015777,0.000122000,0.003556812
132,0.000000079,0.000001792,0.000015502,0.000119000,0.003590587
133,0.000000082,0.000001927,0.000016727,0.000124000,0.003637049
134,0.000000085,0.000001899,0.000016443,0.000123000,0.003587886
135,0.000000083,0.000001782,0.000016042,0.000126000,0.003648118
136,0.000000083,0.000001888,0.000016364,0.000132000,0.003743798
137,0.000000083,0.000001975,0.000016859,0.000126000,0.003640622
138,0.000000087,0.000001770,0.000016888,0.000127000,0.003658917
139,0.000000085,0.000001862,0.000016622,0.000125000,0.003916948
140,0.000000083,0.000001787,0.000016631,0.000127000,0.003600749
141,0.000000083,0.000001655,0.000016006,0.000121000,0.003548773
142,0.000000082,0.000002077,0.000016228,0.000122000,0.003645913
143,0.000000113,0.000001760,0.000016196,0.000123000,0.003615988
144,0.000000088,0.000001856,0.000016229,0.000122000,0.003874383
145,0.000000083,0.000001896,0.000016488,0.000130000,0.003688207
146,0.000000082,0.000001836,0.000017088,0.000129000,0.003860033
147,0.000000083,0.000001680,0.000016353,0.000127000,0.003592021
148,0.000000084,0.000001723,0.000016436,0.000125000,0.003674716
149,0.000000085,0.000001799,0.000016347,0.000129000,0.003650492
150,0.000000085,0.000001847,0.000015940,0.000129000,0.003810451
151,0.000000079,0.000001839,0.000015988,0.000125000,0.003582136
152,0.000000085,0.000002241,0.000016353,0.000123000,0.003651327
153,0.000000080,0.000002135,0.000015945,0.000125000,0.003569884
154,0.000000080,0.000001966,0.000016608,0.000120000,0.003603846
155,0.000000083,0.000001757,0.000015867,0.000123000,0.003594030
156,0.000000079,0.000001802,0.000015599,0.000120000,0.003499909
157,0.000000081,0.000001797,0.000016266,0.000122000,0.004007046
158,0.000000079,0.000001708,0.000015932,0.000133000,0.003549063
159,0.000000079,0.000001615,0.000015167,0.000121000,0.003517688
160,0.000000081,0.000001847,0.000015892,0.000118000,0.003642177
161,0.000000084,0.000001766,0.000015375,0.000121000,0.003595829
162,0.000000082,0.000002159,0.000016075,0.000119000,0.003515773
163,0.000000082,0.000001696,0.000015441,0.000121000,0.003494693
164,0.000000081,0.000001715,0.000015609,0.000120000,0.003576615
165,0.000000077,0.000001599,0.000015789,0.000127000,0.003591502
166,0.000000081,0.000001922,0.000016591,0.000121000,0.003579008
167,0.000000082,0.000001909,0.000016162,0.000123000,0.003847534
168,0.000000099,0.000002539,0.000016093,0.000120000,0.003675568
169,0.000000081,0.000001819,0.000015884,0.000119000,0.003508296
170,0.000000078,0.000001790,0.000015749,0.000121000,0.003752671
171,0.000000101,0.000001742,0.000016409,0.000123000,0.003492148
172,0.000000079,0.000001826,0.000015610,0.000123000,0.003485143
173,0.000000078,0.000001638,0.000015490,0.000130000,0.003457891
174,0.000000080,0.000001876,0.000015866,0.000121000,0.003513138
175,0.000000083,0.000002081,0.000015214,0.000121000,0.003520666
176,0.000000082,0.000002039,0.000015912,0.000119000,0.003496192
177,0.000000085,0.000001798,0.000016102,0.000122000,0.003560985
178,0.000000097,0.000001674,0.000015609,0.000122000,0.003639207
179,0.000000081,0.000001960,0.000016213,0.000126000,0.003636557
180,0.000000082,0.000001786,0.000015712,0.000124000,0.003722418
181,0.000000113,0.000001952,0.000016329,0.000125000,0.003716959
182,0.000000088,0.000001764,0.000016841,0.000123000,0.003584598
183,0.000000082,0.000002527,0.000016942,0.000123000,0.003691036
184,0.000000082,0.000001667,0.000016107,0.000123000,0.003602481
185,0.000000093,0.000001942,0.000016101,0.000123000,0.003630731
186,0.000000085,0.000001655,0.000015929,0.000122000,0.003612752
187,0.000000107,0.000001876,0.000016209,0.000125000,0.003770198
188,0.000000080,0.000001654,0.000016071,0.000124000,0.003667178
189,0.000000083,0.000002124,0.000015932,0.000124000,0.003564909
190,0.000000081,0.000001840,0.000015886,0.000122000,0.005102790
191,0.000000076,0.000001955,0.000016154,0.000125000,0.003586987
192,0.000000099,0.000001790,0.000015778,0.000124000,0.003789823
193,0.000000081,0.000001872,0.000015617,0.000122000,0.003556064
194,0.000000083,0.000001849,0.000016055,0.000125000,0.003579333
195,0.000000081,0.000001768,0.000015981,0.000123000,0.003593331
196,0.000000092,0.000001802,0.000016164,0.000124000,0.003544954
197,0.000000089,0.000001845,0.000016622,0.000120000,0.003661704
198,0.000000084,0.000002077,0.000016964,0.000125000,0.003654341
199,0.000000082,0.000001844,0.000015638,0.000124000,0.003936875
200,0.000000082,0.000001933,0.000016091,0.000121000,0.003564983
201,0.000000081,0.000001737,0.000015926,0.000134000,0.003603388
202,0.000000082,0.000001706,0.000016372,0.000124000,0.003614043
203,0.000000084,0.000001836,0.000016001,0.000184000,0.003540653
204,0.000000083,0.000001730,0.000016512,0.000126000,0.003605294
