CMDLINE ./nlogn
MEM 1.125000 1715786371.4236
MEM 31.949219 1715786371.5239
MEM 42.199219 1715786371.6243
MEM 45.824219 1715786371.7247
MEM 45.824219 1715786371.8250
MEM 50.574219 1715786371.9253
MEM 50.574219 1715786372.0256
MEM 60.074219 1715786372.1259
MEM 60.074219 1715786372.2262
MEM 60.074219 1715786372.3266
MEM 60.074219 1715786372.4269
MEM 60.074219 1715786372.5272
MEM 60.074219 1715786372.6275
MEM 79.074219 1715786372.7278
