CMDLINE java nlogn
MEM 1.000000 1715786374.0023
MEM 78.113281 1715786374.1026
MEM 131.113281 1715786374.2029
MEM 218.363281 1715786374.3032
MEM 240.613281 1715786374.4036
MEM 250.613281 1715786374.5039
MEM 250.613281 1715786374.6042
MEM 252.238281 1715786374.7046
MEM 265.613281 1715786374.8050
MEM 313.238281 1715786374.9052
MEM 319.488281 1715786375.0055
MEM 321.113281 1715786375.1058
MEM 321.113281 1715786375.2062
MEM 321.113281 1715786375.3065
MEM 329.863281 1715786375.4068
