CMDLINE node n.js
MEM 0.625000 1715786369.4433
MEM 126.519531 1715786369.5437
MEM 250.703125 1715786369.6440
MEM 376.703125 1715786369.7444
MEM 440.578125 1715786369.8447
MEM 516.828125 1715786369.9450
MEM 516.828125 1715786370.0454
MEM 516.828125 1715786370.1457
