n,times
400,0.01372483
401,0.00472783
402,0.02329164
403,0.00529997
404,0.01401497
405,0.00455981
406,0.00496448
407,0.00521220
408,0.01507795
409,0.00484235
410,0.00596841
411,0.01409625
412,0.01436117
413,0.00468272
414,0.00518515
415,0.00515619
416,0.01476519
417,0.00590784
418,0.00488310
419,0.00500582
420,0.01458812
421,0.00629005
422,0.00522456
423,0.01489939
424,0.00569114
425,0.00532707
426,0.00535669
427,0.01451031
428,0.00516696
429,0.00576276
430,0.00656637
431,0.00592252
432,0.00633838
433,0.00687256
434,0.01508455
435,0.01488563
436,0.01013221
437,0.01815406
438,0.00642715
439,0.01385075
440,0.01431093
441,0.01254355
442,0.01545018
443,0.00619532
444,0.01481370
445,0.00568511
446,0.01504345
447,0.01517971
448,0.00604554
449,0.01839398
450,0.01115345
451,0.00613092
452,0.02497010
453,0.00558456
454,0.01544832
455,0.02136469
456,0.00705560
457,0.00585810
458,0.00752626
459,0.00628791
460,0.01050156
461,0.00893228
462,0.02446907
463,0.00703195
464,0.01082721
465,0.02231625
466,0.01878219
467,0.00673914
468,0.00622794
469,0.01712265
470,0.01207369
471,0.01635292
472,0.02450962
473,0.00747010
474,0.01110937
475,0.00955603
476,0.01474085
477,0.01566214
478,0.03407783
479,0.02429125
480,0.00747922
481,0.01231329
482,0.00657944
483,0.00772666
484,0.01745882
485,0.01662202
486,0.00711351
487,0.01646977
488,0.01516978
489,0.02526309
490,0.01534346
491,0.00695120
492,0.01613375
493,0.00776585
494,0.01644773
495,0.02590533
496,0.00680460
497,0.01608150
498,0.00767536
499,0.00850843
500,0.01730911
501,0.00742421
502,0.00763218
503,0.00716193
504,0.01661256
505,0.01590556
506,0.01712738
507,0.00835298
508,0.00825173
509,0.00877435
510,0.03502078
511,0.02627169
512,0.02550630
513,0.00729678
514,0.00803598
515,0.01725162
516,0.00741475
517,0.00800814
518,0.00819644
519,0.01739385
520,0.01720964
521,0.01708033
522,0.00847689
523,0.01776292
524,0.01699781
525,0.00859188
526,0.01729372
527,0.00946240
528,0.02680321
529,0.00808321
530,0.00835331
531,0.00902847
532,0.01806852
533,0.00862052
534,0.01715921
535,0.00859016
536,0.01732297
537,0.02684634
538,0.01854687
539,0.00822693
540,0.00965005
541,0.01887935
542,0.02771143
543,0.00934282
544,0.01774350
545,0.01805892
546,0.01758596
547,0.01024351
548,0.03678099
549,0.02744453
550,0.00922044
551,0.02775677
552,0.00947843
553,0.02477743
554,0.01813488
555,0.01711353
556,0.00952106
557,0.02306222
558,0.03074368
559,0.00931691
560,0.01824488
561,0.00900987
562,0.02887784
563,0.00922692
564,0.02758050
565,0.00882499
566,0.01003077
567,0.02781275
568,0.02861484
569,0.00913083
570,0.00944731
571,0.01988088
572,0.01897802
573,0.01849679
574,0.00949091
575,0.01946511
576,0.01858032
577,0.01041455
578,0.01027003
579,0.01939468
580,0.01046583
581,0.01075844
582,0.01022538
