CMDLINE ./nsquare
MEM 4.199219 1715786770.7679
MEM 4.199219 1715786770.8680
MEM 4.199219 1715786770.9683
MEM 4.199219 1715786771.0686
MEM 4.199219 1715786771.1689
MEM 4.199219 1715786771.2691
MEM 4.199219 1715786771.3695
MEM 4.199219 1715786771.4697
MEM 4.199219 1715786771.5699
MEM 4.199219 1715786771.6701
MEM 4.199219 1715786771.7704
MEM 4.199219 1715786771.8707
MEM 4.199219 1715786771.9710
MEM 4.199219 1715786772.0712
MEM 4.199219 1715786772.1716
MEM 4.199219 1715786772.2719
MEM 4.199219 1715786772.3722
MEM 4.199219 1715786772.4752
MEM 4.199219 1715786772.5755
MEM 4.199219 1715786772.6757
MEM 4.199219 1715786772.7760
MEM 4.199219 1715786772.8762
MEM 4.199219 1715786772.9765
MEM 4.199219 1715786773.0768
MEM 4.199219 1715786773.1772
MEM 4.199219 1715786773.2776
MEM 4.199219 1715786773.3779
MEM 4.199219 1715786773.4781
MEM 4.199219 1715786773.5784
MEM 4.199219 1715786773.6788
MEM 4.199219 1715786773.7791
MEM 4.199219 1715786773.8794
MEM 4.199219 1715786773.9798
MEM 4.199219 1715786774.0801
MEM 4.199219 1715786774.1805
MEM 4.199219 1715786774.2807
MEM 4.199219 1715786774.3812
MEM 4.199219 1715786774.4814
MEM 4.199219 1715786774.5816
MEM 4.199219 1715786774.6819
MEM 4.199219 1715786774.7822
MEM 4.199219 1715786774.8826
MEM 4.199219 1715786774.9830
MEM 4.199219 1715786775.0832
MEM 4.199219 1715786775.1835
MEM 4.199219 1715786775.2837
MEM 4.199219 1715786775.3841
MEM 4.199219 1715786775.4843
MEM 4.199219 1715786775.5845
MEM 4.199219 1715786775.6848
MEM 4.199219 1715786775.7851
MEM 4.199219 1715786775.8854
MEM 4.199219 1715786775.9856
MEM 4.199219 1715786776.0858
MEM 4.199219 1715786776.1862
MEM 4.199219 1715786776.2864
MEM 4.199219 1715786776.3866
MEM 4.199219 1715786776.4868
MEM 4.199219 1715786776.5870
MEM 4.199219 1715786776.6873
MEM 4.199219 1715786776.7877
MEM 4.199219 1715786776.8879
MEM 4.199219 1715786776.9882
MEM 4.199219 1715786777.0885
MEM 4.199219 1715786777.1887
MEM 4.199219 1715786777.2889
MEM 4.199219 1715786777.3892
MEM 4.199219 1715786777.4895
MEM 4.199219 1715786777.5925
MEM 4.199219 1715786777.6929
MEM 4.199219 1715786777.7932
MEM 4.199219 1715786777.8935
MEM 4.199219 1715786777.9937
MEM 4.199219 1715786778.0938
MEM 4.199219 1715786778.1941
MEM 4.199219 1715786778.2945
MEM 4.199219 1715786778.3948
MEM 4.199219 1715786778.4950
MEM 4.199219 1715786778.5952
MEM 4.199219 1715786778.6954
MEM 4.199219 1715786778.7958
MEM 4.199219 1715786778.8961
MEM 4.199219 1715786778.9963
MEM 4.199219 1715786779.0964
MEM 4.199219 1715786779.1966
MEM 4.199219 1715786779.2970
MEM 4.199219 1715786779.3973
MEM 4.199219 1715786779.4975
MEM 4.199219 1715786779.5976
MEM 4.199219 1715786779.6979
MEM 4.199219 1715786779.7982
MEM 4.199219 1715786779.8984
MEM 4.199219 1715786779.9987
MEM 4.199219 1715786780.0990
MEM 4.199219 1715786780.1993
MEM 4.199219 1715786780.2995
MEM 4.199219 1715786780.3997
MEM 4.199219 1715786780.4999
MEM 4.199219 1715786780.6002
MEM 4.199219 1715786780.7005
MEM 4.199219 1715786780.8008
MEM 4.199219 1715786780.9011
MEM 4.199219 1715786781.0014
MEM 4.199219 1715786781.1016
MEM 4.199219 1715786781.2018
MEM 4.199219 1715786781.3020
MEM 4.199219 1715786781.4023
MEM 4.199219 1715786781.5026
MEM 4.199219 1715786781.6029
MEM 4.199219 1715786781.7031
MEM 4.199219 1715786781.8035
MEM 4.199219 1715786781.9038
MEM 4.199219 1715786782.0040
MEM 4.199219 1715786782.1043
MEM 4.199219 1715786782.2045
MEM 4.199219 1715786782.3048
MEM 4.199219 1715786782.4050
MEM 4.199219 1715786782.5053
MEM 4.199219 1715786782.6056
MEM 4.199219 1715786782.7064
MEM 4.199219 1715786782.8068
MEM 4.199219 1715786782.9070
MEM 4.199219 1715786783.0072
MEM 4.199219 1715786783.1074
MEM 4.199219 1715786783.2076
MEM 4.199219 1715786783.3080
MEM 4.199219 1715786783.4083
MEM 4.199219 1715786783.5085
MEM 4.199219 1715786783.6087
MEM 4.199219 1715786783.7090
MEM 4.199219 1715786783.8094
MEM 4.199219 1715786783.9097
MEM 4.199219 1715786784.0099
MEM 4.199219 1715786784.1102
MEM 4.199219 1715786784.2105
MEM 4.199219 1715786784.3108
MEM 4.199219 1715786784.4111
MEM 4.199219 1715786784.5113
