CMDLINE node logn.js
MEM 0.625000 1715854224.6733
MEM 33.992188 1715854224.7737
MEM 82.308594 1715854224.8742
MEM 158.433594 1715854224.9747
MEM 248.558594 1715854225.0752
MEM 308.933594 1715854225.1757
MEM 378.183594 1715854225.2761
MEM 357.378906 1715854225.3765
