CMDLINE node one.js
MEM 0.625000 1715854220.6537
MEM 33.863281 1715854220.7542
MEM 64.660156 1715854220.8546
MEM 134.285156 1715854220.9551
MEM 143.105469 1715854221.0555
MEM 198.855469 1715854221.1560
MEM 250.855469 1715854221.2563
MEM 350.355469 1715854221.3568
