CMDLINE java nsquare
MEM 1.875000 1715854235.7594
MEM 37.238281 1715854235.8597
MEM 77.738281 1715854235.9600
MEM 77.738281 1715854236.0603
MEM 77.738281 1715854236.1606
MEM 77.738281 1715854236.2609
MEM 77.738281 1715854236.3612
MEM 77.738281 1715854236.4615
MEM 77.738281 1715854236.5618
MEM 77.738281 1715854236.6621
MEM 77.738281 1715854236.7624
MEM 77.738281 1715854236.8628
MEM 77.738281 1715854236.9631
MEM 77.738281 1715854237.0635
MEM 77.738281 1715854237.1639
MEM 77.738281 1715854237.2642
MEM 77.738281 1715854237.3646
MEM 77.738281 1715854237.4650
MEM 77.738281 1715854237.5653
MEM 77.738281 1715854237.6656
MEM 77.738281 1715854237.7660
MEM 77.738281 1715854237.8663
MEM 77.738281 1715854237.9666
MEM 77.738281 1715854238.0670
MEM 77.738281 1715854238.1673
MEM 77.738281 1715854238.2677
MEM 77.738281 1715854238.3680
MEM 77.738281 1715854238.4683
MEM 77.738281 1715854238.5686
MEM 77.738281 1715854238.6689
MEM 77.738281 1715854238.7693
MEM 77.738281 1715854238.8697
MEM 77.738281 1715854238.9700
MEM 77.738281 1715854239.0703
MEM 77.738281 1715854239.1707
MEM 77.738281 1715854239.2710
MEM 77.738281 1715854239.3713
MEM 77.738281 1715854239.4717
MEM 77.738281 1715854239.5720
MEM 77.738281 1715854239.6724
MEM 77.738281 1715854239.7727
MEM 77.738281 1715854239.8730
MEM 77.738281 1715854239.9734
MEM 77.738281 1715854240.0737
MEM 77.738281 1715854240.1740
MEM 77.738281 1715854240.2744
MEM 77.738281 1715854240.3747
MEM 77.738281 1715854240.4750
MEM 77.738281 1715854240.5753
MEM 77.738281 1715854240.6757
MEM 77.738281 1715854240.7760
MEM 77.738281 1715854240.8764
MEM 77.738281 1715854240.9767
MEM 77.738281 1715854241.0770
MEM 77.863281 1715854241.1773
MEM 77.863281 1715854241.2776
MEM 77.863281 1715854241.3780
MEM 77.863281 1715854241.4783
MEM 77.863281 1715854241.5786
MEM 77.863281 1715854241.6789
MEM 77.863281 1715854241.7793
MEM 77.863281 1715854241.8796
MEM 77.863281 1715854241.9799
MEM 77.863281 1715854242.0802
MEM 77.863281 1715854242.1805
MEM 77.863281 1715854242.2808
MEM 77.863281 1715854242.3812
MEM 77.863281 1715854242.4815
MEM 77.863281 1715854242.5818
MEM 77.863281 1715854242.6821
MEM 77.863281 1715854242.7824
MEM 77.863281 1715854242.8828
MEM 77.863281 1715854242.9831
